title;pid;url
Histoire des mères et de la maternité en Occident;PUF_KNIBI_2012_01;http://www.cairn.info/histoire-des-meres-et-de-la-maternite-en-occiden--9782130595564.htm
Histoire des ordres religieux;PUF_HOURS_2012_01;http://www.cairn.info/histoire-des-ordres-religieux--9782130584216.htm
Histoire des relations internationales, de 1815 à nos jours;PUF_MOUGE_2012_01;http://www.cairn.info/histoire-des-relations-internationales-de-1815-a-n--9782130607786.htm
Histoire des théories de la communication;DEC_MATTE_2010_01;http://www.cairn.info/histoire-des-theories-de-la-communication--9782707144065.htm
Histoire des théories de l’argumentation;DEC_BRETO_2000_01;http://www.cairn.info/histoire-des-theories-de-largumentation--9782707131751.htm
Histoire des universités;PUF_CHARL_2007_01;http://www.cairn.info/histoire-des-universites--9782130564935.htm
Histoire du Canada;PUF_LINTE_2010_01;http://www.cairn.info/histoire-du-canada--9782130584018.htm
Histoire du catholicisme;PUF_BRULE_2010_01;http://www.cairn.info/histoire-du-catholicisme--9782130585961.htm
Histoire du costume;PUF_GRAU_2007_01;http://www.cairn.info/histoire-du-costume--9782130564263.htm
Histoire du droit;PUF_CARBA_2010_01;http://www.cairn.info/histoire-du-droit--9782130585169.htm
Histoire du féminisme;DEC_SARCE_2008_01;http://www.cairn.info/histoire-du-feminisme--9782707154729.htm
Histoire du Japon des origines à Meiji;PUF_VIE_2009_01;http://www.cairn.info/histoire-du-japon-des-origines-a-meiji--9782130574033.htm
Histoire du judaïsme;PUF_CHOUR_2002_01;http://www.cairn.info/histoire-du-judaisme--9782130525745.htm
Histoire du judaïsme;PUF_SMILE_2012_01;http://www.cairn.info/histoire-du-judaisme--9782130589778.htm
Histoire du Languedoc;PUF_LEROY_2010_01;http://www.cairn.info/histoire-du-languedoc--9782130581376.htm
Histoire du livre;PUF_LABAR_2001_01;http://www.cairn.info/histoire-du-livre--9782130519928.htm
Histoire du Luxembourg;PUF_KREIN_2010_01;http://www.cairn.info/histoire-du-luxembourg--9782130583578.htm
Histoire du Maroc depuis l’indépendance;DEC_VERME_2010_01;http://www.cairn.info/histoire-du-maroc-depuis-l-independance--9782707164995.htm
Histoire du Parti communiste français;DEC_SANTA_1999_01;http://www.cairn.info/histoire-du-parti-communiste-francais--9782707131041.htm
Histoire du parti socialiste;DEC_KERGO_1997_01;http://www.cairn.info/histoire-du-parti-socialiste--9782707127365.htm
Histoire du peuple hébreu;PUF_LEMAI_2009_01;http://www.cairn.info/histoire-du-peuple-hebreu--9782130575450.htm
Histoire du protestantisme;PUF_BAUBE_2009_02;http://www.cairn.info/histoire-du-protestantisme--9782130578765.htm
Histoire du sport;PUF_TERRE_2011_01;http://www.cairn.info/histoire-du-sport--9782130592099.htm
Histoire du système éducatif;PUF_TROGE_2012_01;http://www.cairn.info/histoire-du-systeme-educatif--9782130606598.htm
Histoire du théâtre;PUF_VIALA_2012_01;http://www.cairn.info/histoire-du-theatre--9782130595441.htm
Histoire du travail des femmes;DEC_BATTA_2008_01;http://www.cairn.info/histoire-du-travail-des-femmes--9782707166258.htm
Histoire politique de la IIIe République;DEC_CANDA_1999_01;http://www.cairn.info/histoire-politique-de-la-iiie-republique--9782707131195.htm
Histoire politique de la IVe République;DEC_DUHAM_2000_01;http://www.cairn.info/histoire-politique-de-la-ive-republique--9782707133373.htm
Histoire politique et économique des médias en France;DEC_CHUPI_2012_01;http://www.cairn.info/histoire-politique-et-economique-des-medias-en-fra--9782707173713.htm
Histoire sociale de l’impôt;DEC_DELAL_2010_01;http://www.cairn.info/histoire-sociale-de-l-impot--9782707157164.htm
Histoire sociale du cinéma français;DEC_DARRE_2000_01;http://www.cairn.info/histoire-sociale-du-cinema-francais--9782707133366.htm
Histoire de l’Europe monétaire;DEC_PATAT_2005_01;http://www.cairn.info/histoire-de-l-europe-monetaire--9782707145987.htm
Les histoires de vie;PUF_PINEA_2007_01;http://www.cairn.info/les-histoires-de-vie--9782130564447.htm
L’historien et la littérature;DEC_RIBAR_2010_01;http://www.cairn.info/l-historien-et-la-litterature--9782707159014.htm
L'historiographie;PUF_CARBO_2002_02;http://www.cairn.info/l-historiographie--9782130531289.htm
L’historiographie;PUF_OFFEN_2011_01;http://www.cairn.info/l-historiographie--9782130591573.htm
Les Hittites;PUF_KLOCK_2008_01;http://www.cairn.info/les-hittites--9782130565338.htm
Homère;PUF_DEROM_2005_01;http://www.cairn.info/homere--9782130548300.htm
